,Question,Sentence
1622,where do dungeness crab live,"The Dungeness crab, Metacarcinus magister (formerly Cancer magister), is a species of crab that inhabits eelgrass beds and water bottoms on the west coast of North America ."
1625,when did Emperor Justinian die,"Justinian I () (, ) (c. 482 â 14 November 565), commonly known as Justinian the Great, was Byzantine Emperor from 527 to 565."
1657,what mountains are on appalachian trail,"The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine ."
1684,when did scott pilgrim come out,"Scott Pilgrim vs. the World is a 2010 American comedy film directed by Edgar Wright , based on the graphic novel series Scott Pilgrim by Bryan Lee O'Malley ."
1711,what season is  dexter on,"After months of rumors, on April 18, 2013, Showtime announced via social media that season eight would be the final season of Dexter."
1712,What are context effects of memory?,Context-dependent memory refers to improved recall of specific episodes or information when the context present at encoding and retrieval are the same.
1725,who won the 1998 world cup,"The tournament was won by France , who beat Brazil 3â0 in the final."
1740,what kind of people are on the show skins,"Skins is a British teen drama that follows the lives of a group of teenagers in Bristol , South West England , through the two years of sixth form ."
1749,what nationality is kris jenner,"Kristen Mary ""Kris"" Jenner (nÃ©e Houghton, previously Kardashian; born November 5, 1955) is an American socialite, author and television personality."
1754,what are the boundaries of the pelvic outlet,The lower circumference of the lesser pelvis is very irregular; the space enclosed by it is named the inferior aperture or pelvic outlet.
1758,what time will the world end on may 21,"Camping suggested that it would occur at 6 pm local time, with the rapture sweeping the globe time zone by time zone, while some of his supporters claimed that around 200 million people (approximately 3% of the world's population) would be 'raptured'."
1773,who makes triumph motorcycles,"Triumph Engineering Co Ltd, a defunct British motorcycle manufacturer"
1775,who makes triumph motorcycles,"Triumph Motorcycles Ltd , a current British motorcycle manufacturer"
1789,where do sesame seeds come from,Numerous wild relatives occur in Africa and a smaller number in India.
1804,where did the olmecs come from,"They lived in the tropical lowlands of south-central Mexico, in the modern-day states of Veracruz and Tabasco ."
1812,what state is milwaukee in,"Milwaukee is the largest city in the U.S. state of Wisconsin , the 28th most populous city in the United States , and 39th most populous region in the United States."
1822,what are garnishments,"A garnishment is a means of collecting a monetary judgment against a defendant by ordering a third party (the garnishee) to pay money, otherwise owed to the defendant , directly to the plaintiff ."
1828,what are the charges against Casey Anthony,She was charged with first degree murder in October 2008 and pled not guilty.
1891,what are arizona's symbols,The newest adopted symbol of Arizona is the Colt Single Action Army in 2011.
1892,what are arizona's symbols,"Arizona became the second state to adopt a ""state firearm"" after Utah adopted the Browning M1911 ."
1895,what are SLR cameras,"A single-lens reflex (SLR) camera is a camera that typically uses a mirror and prism system (hence ""reflex"", from the mirror's reflection) that permits the photographer to view through the lens and see exactly what will be captured, contrary to viewfinder cameras where the image could be significantly different from what will be captured."
1916,what is the scientific name of the eastern tiger salamander?,The tiger salamander (Ambystoma tigrinum) is a species of mole salamander .
1918,what was the steelworkers strike,"The Steel Strike of 1919 was an attempt by the weakened Amalgamated Association of Iron, Steel and Tin Workers (the AA) to organize the United States steel industry in the wake of World War I ."
1932,when was the web invented,"Using concepts from his earlier hypertext systems like ENQUIRE , British engineer, computer scientist and at that time employee of the CERN , Sir Tim Berners-Lee , now Director of the World Wide Web Consortium (W3C), wrote a proposal in March 1989 for what would eventually become the World Wide Web."
1945,where is andy whitfield from?,Andy Whitfield (died 11 September 2011) was a Welsh Australian actor and model.
1964,where is scotty mccreery from,"Scott ""Scotty"" McCreery (born October 9, 1993) is an American country music singer from Garner, North Carolina ."
1970,where is david ortiz from,"David AmÃ©rico Ortiz Arias (born November 18, 1975), nicknamed ""Big Papi"", is a Dominican-American professional baseball designated hitter with the Boston Red Sox of Major League Baseball (MLB)."
1976,when was kirstie alley on cheers,"Kirstie Louise Alley (born January 12, 1951) is an American actress and comedian known for her role in the TV series Cheers , in which she played Rebecca Howe from 1987â1993, winning an Emmy Award and a Golden Globe Award as the Outstanding Lead Actress in a Comedy Series in 1991."
2016,what is the cabin pressure of us airlines,The pressurization controls on a Boeing 737-800
2017,what is the cabin pressure of us airlines,Cabin pressurization is used to create a safe and comfortable environment for aircraft passengers and crew flying at high altitude by pumping conditioned air into the cabin .
2038,where is penn state stadium,"Beaver Stadium is an outdoor college football stadium in University Park , Pennsylvania , United States , on the campus of The Pennsylvania State University ."
2099,what was the parthenon used for,"The Parthenon () is a temple on the Athenian Acropolis , Greece, dedicated to the maiden goddess Athena , whom the people of Athens considered their patron deity."
2117,what is stepwise linear regression,"In statistics , stepwise regression includes regression models in which the choice of predictive variables is carried out by an automatic procedure."
2130,what is the definition of a hung jury,"A hung jury or deadlocked jury is a jury that cannot, by the required voting threshold, agree upon a verdict after an extended period of deliberation and is unable to change its votes."
2139,where was jfk buried,"After the Requiem Mass at St. Matthew's Cathedral , the late president was buried at Arlington National Cemetery in Virginia."
2141,what is baklava recipe,"Baklava (, , or ; also Baklawa) is a rich, sweet pastry made of layers of phyllo pastry filled with chopped nuts and sweetened with syrup or honey ."
2143,who is carlos pena on big time rush,"Big Time Rush (BTR) is an American television series created by Scott Fellows about the Hollywood misadventures of four hockey players from Minnesota âKendall, James, Carlos, and Logan, after they are selected to form a boy band ."
2157,where is the arctic circle located on the earth,The Arctic Circle is the southernmost latitude in the Northern Hemisphere at which the sun can remain continuously above or below the horizon for 24 hours (at the June solstice and December solstice respectively).
2170,where are colors on stoplight,In the typical sequence of color phases:
2171,where are colors on stoplight,"the green light allows traffic to proceed in the direction denoted, if it is safe to do so"
2172,where are colors on stoplight,"the yellow/amber light denoting prepare to stop short of the intersection, if it is safe to do so"
2173,where are colors on stoplight,the red signal prohibits any traffic from proceeding
2199,what was the GE building in rockefeller plaza called before.,"Known as the RCA Building until 1988, it is most famous for housing the headquarters of the television network NBC ."
2214,WHO WAS IN THE MOVIE I CONFESS WITH MONTGOMERY CLIFT,"I Confess is a 1953 drama film directed by Alfred Hitchcock , and starring Montgomery Clift as Fr. Michael William Logan, a Catholic priest , Anne Baxter as Ruth Grandfort, and Karl Malden as Inspector Larrue."
2234,what is article 5 about,Article Five of the United States Constitution describes the process whereby the Constitution may be altered.
2252,What is the function of albumin?,"Albumin transports hormones, fatty acids, and other compounds, buffers pH, and maintains osmotic pressure , among other functions."
2285,what is chicken chow mein,"Chow mein (; Chinese : çéºµ, ""fried noodles"") is a Chinese term for a dish of stir-fried noodles , of which there are many varieties."
2312,where is Desmanthus Illinoensis found,"Desmanthus illinoensis (commonly known as Illinois bundleflower, prairie-mimosa or prickleweed) is a plant in many areas of the south central US."
2315,when was pearl harbor bombed,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan)."
2333,what is associates arts degree,"An associate degree is an undergraduate academic degree awarded by community colleges , junior colleges , technical colleges, and bachelor's degree -granting colleges and universities upon completion of a course of study usually lasting two years."
2339,"What was Captain Ahab's Ship in the novel ""Moby Dick""","The story tells the adventures of wandering sailor Ishmael , and his voyage on the whaleship Pequod , commanded by Captain Ahab."
2353,what is oregon institute of technology like,"Oregon Institute of Technology, also known as Oregon Tech or OIT, is one of seven Universities in the Oregon University System , and the only public institute of technology in the Pacific Northwest ."
2357,what is linkedin used for,LinkedIn () is a social networking website for people in professional occupations.
2368,where is rashard lewis from???,"Rashard Quovon Lewis (born August 8, 1979 in Pineville, Louisiana ) is an American professional basketball player who currently plays for the Miami Heat of the NBA ."
2435,where is the world cup in 2010,It took place in South Africa from 11 June to 11 July 2010.
2448,what is jagger bombs,The JÃ¤gerbomb () is a bomb shot cocktail that was originally mixed by dropping a shot of JÃ¤germeister into a glass of beer and in recent years evolved by the Bagheri brothers (UK) with Red Bull or other energy drinks.
2452,who is the author of tree grows in brooklyn,A Tree Grows in Brooklyn is a 1943 novel written by Betty Smith .
2490,what is the difference between alpha lipoic acid and lipoic acid,"Lipoic acid (LA), also known as Î±-lipoic acid and alpha lipoic acid (ALA) is an organosulfur compound derived from octanoic acid ."
2520,what is gravy made of,"Gravy is a sauce , made often from the juices that run naturally from meat or vegetables during cooking."
2522,what is gravy made of,The gravy may be further colored and flavored with gravy salt (a simple mix of salt and caramel food colouring) or gravy browning (gravy salt dissolved in water) or ready-made cubes and powders can be used as a substitute for natural meat or vegetable extracts.
2542,What is the the North American Free Trade Agreement?,"The North American Free Trade Agreement (NAFTA) is an agreement signed by Canada , Mexico , and the United States , creating a trilateral trade bloc in North America ."
2551,When was 27th amendment proposed,It was submitted to the states for ratification in 1789 and was adopted in 1992.
2556,where was paul revere born,"Paul Revere (December 21, 1734May 10, 1818) was an American silversmith , early industrialist, and a patriot in the American Revolution ."
2564,where are kenworth trucks built,"Kenworth is an American manufacturer of medium and heavy-duty Class 8 trucks based in Kirkland, Washington , United States , a suburb of Seattle, Washington."
2570,where is UWA on world list of universities,"One of Australia's best and most prestigious universities, UWA is highly ranked internationally in various publications; the 2011 QS World University Rankings placed UWA at 73rd internationally."
2600,what is IBRIX,"IBRIX Fusion is a scalable parallel file system combined with integrated logical volume manager , availability features and a management interface."
2606,what is bilirubin total,Bilirubin (formerly referred to as hematoidin) is the yellow breakdown product of normal heme catabolism .
2626,what is three phase electrical,"Three-phase electric power is a common method of alternating-current electric power generation , transmission , and distribution ."
2638,Who is the highest scoring NBA player,"Wilt Chamberlain holds the all-time records for total points scored (4,029) and points per game (50.4) in a season; both records were achieved in the 1961â62 season ."
2649,what is direct marketing channel,"Direct marketing is a channel-agnostic form of advertising that allows businesses and nonprofits organizations to communicate straight to the customer, with advertising techniques that can include Cell Phone Text messaging , email, interactive consumer websites, online display ads, fliers, catalog distribution, promotional letters, and outdoor advertising."
2662,what is disney's magic kingdom,"Magic Kingdom Park, also known as Magic Kingdom, is the first of four theme parks built at the Walt Disney World Resort in Bay Lake , Florida ."
2669,what is the name of the family who own the biltmore estates in nc,"Still owned by one of Vanderbilt's descendants, it stands today as one of the most prominent remaining examples of the Gilded Age , and of significant gardens in the jardin Ã  la franÃ§aise and English Landscape garden styles in the United States."
2672,who was the congressman who was caught with an escort in ny,"On March 10, 2008, The New York Times reported that New York Governor Eliot Spitzer had patronized an elite escort service run by Emperors Club VIP ."
2684,what is the name of chris cornell's band?,"Chris Cornell (born Christopher John Boyle; July 20, 1964) is an American rock musician best known as the lead vocalist and rhythm guitarist for Soundgarden and as the former lead vocalist for Audioslave ."
